"O_003.SPC"
"WL/nm","Abs"
900.00,0.011
899.50,0.011
899.00,0.011
898.50,0.011
898.00,0.011
897.50,0.011
897.00,0.011
896.50,0.011
896.00,0.011
895.50,0.011
895.00,0.011
894.50,0.011
894.00,0.011
893.50,0.011
893.00,0.011
892.50,0.011
892.00,0.011
891.50,0.011
891.00,0.011
890.50,0.011
890.00,0.011
889.50,0.011
889.00,0.011
888.50,0.011
888.00,0.011
887.50,0.011
887.00,0.011
886.50,0.012
886.00,0.012
885.50,0.012
885.00,0.012
884.50,0.012
884.00,0.012
883.50,0.012
883.00,0.012
882.50,0.012
882.00,0.012
881.50,0.012
881.00,0.012
880.50,0.012
880.00,0.012
879.50,0.012
879.00,0.012
878.50,0.012
878.00,0.013
877.50,0.013
877.00,0.013
876.50,0.013
876.00,0.013
875.50,0.013
875.00,0.013
874.50,0.013
874.00,0.013
873.50,0.013
873.00,0.013
872.50,0.013
872.00,0.013
871.50,0.013
871.00,0.013
870.50,0.013
870.00,0.013
869.50,0.013
869.00,0.013
868.50,0.013
868.00,0.013
867.50,0.014
867.00,0.014
866.50,0.014
866.00,0.014
865.50,0.014
865.00,0.014
864.50,0.014
864.00,0.014
863.50,0.014
863.00,0.014
862.50,0.014
862.00,0.014
861.50,0.014
861.00,0.014
860.50,0.014
860.00,0.014
859.50,0.014
859.00,0.014
858.50,0.014
858.00,0.014
857.50,0.014
857.00,0.014
856.50,0.014
856.00,0.014
855.50,0.014
855.00,0.014
854.50,0.014
854.00,0.014
853.50,0.014
853.00,0.014
852.50,0.014
852.00,0.014
851.50,0.014
851.00,0.014
850.50,0.014
850.00,0.014
849.50,0.014
849.00,0.014
848.50,0.015
848.00,0.015
847.50,0.015
847.00,0.015
846.50,0.015
846.00,0.015
845.50,0.015
845.00,0.015
844.50,0.015
844.00,0.015
843.50,0.015
843.00,0.015
842.50,0.015
842.00,0.015
841.50,0.015
841.00,0.015
840.50,0.015
840.00,0.015
839.50,0.015
839.00,0.015
838.50,0.015
838.00,0.016
837.50,0.016
837.00,0.016
836.50,0.016
836.00,0.016
835.50,0.016
835.00,0.016
834.50,0.016
834.00,0.016
833.50,0.016
833.00,0.016
832.50,0.016
832.00,0.016
831.50,0.016
831.00,0.016
830.50,0.016
830.00,0.016
829.50,0.016
829.00,0.016
828.50,0.017
828.00,0.017
827.50,0.017
827.00,0.017
826.50,0.017
826.00,0.017
825.50,0.017
825.00,0.017
824.50,0.017
824.00,0.017
823.50,0.017
823.00,0.017
822.50,0.017
822.00,0.017
821.50,0.017
821.00,0.017
820.50,0.017
820.00,0.017
819.50,0.017
819.00,0.018
818.50,0.018
818.00,0.018
817.50,0.018
817.00,0.018
816.50,0.018
816.00,0.018
815.50,0.018
815.00,0.018
814.50,0.018
814.00,0.018
813.50,0.018
813.00,0.018
812.50,0.018
812.00,0.018
811.50,0.018
811.00,0.018
810.50,0.019
810.00,0.019
809.50,0.019
809.00,0.019
808.50,0.019
808.00,0.019
807.50,0.019
807.00,0.019
806.50,0.019
806.00,0.019
805.50,0.019
805.00,0.019
804.50,0.019
804.00,0.019
803.50,0.019
803.00,0.019
802.50,0.020
802.00,0.020
801.50,0.020
801.00,0.020
800.50,0.020
800.00,0.020
799.50,0.020
799.00,0.020
798.50,0.020
798.00,0.020
797.50,0.020
797.00,0.020
796.50,0.020
796.00,0.020
795.50,0.020
795.00,0.021
794.50,0.021
794.00,0.021
793.50,0.021
793.00,0.021
792.50,0.021
792.00,0.021
791.50,0.021
791.00,0.021
790.50,0.021
790.00,0.021
789.50,0.021
789.00,0.021
788.50,0.021
788.00,0.021
787.50,0.022
787.00,0.022
786.50,0.022
786.00,0.022
785.50,0.022
785.00,0.022
784.50,0.022
784.00,0.022
783.50,0.022
783.00,0.022
782.50,0.022
782.00,0.022
781.50,0.022
781.00,0.023
780.50,0.023
780.00,0.023
779.50,0.023
779.00,0.023
778.50,0.023
778.00,0.023
777.50,0.023
777.00,0.023
776.50,0.023
776.00,0.023
775.50,0.023
775.00,0.023
