"T_004.SPC"
"WL/nm","Abs"
900.00,0.050
899.50,0.050
899.00,0.050
898.50,0.050
898.00,0.050
897.50,0.050
897.00,0.051
896.50,0.051
896.00,0.051
895.50,0.051
895.00,0.051
894.50,0.052
894.00,0.052
893.50,0.052
893.00,0.052
892.50,0.052
892.00,0.053
891.50,0.053
891.00,0.053
890.50,0.053
890.00,0.053
889.50,0.053
889.00,0.054
888.50,0.054
888.00,0.054
887.50,0.054
887.00,0.054
886.50,0.055
886.00,0.055
885.50,0.055
885.00,0.055
884.50,0.056
884.00,0.056
883.50,0.056
883.00,0.056
882.50,0.056
882.00,0.057
881.50,0.057
881.00,0.057
880.50,0.057
880.00,0.058
879.50,0.058
879.00,0.058
878.50,0.058
878.00,0.058
877.50,0.059
877.00,0.059
876.50,0.059
876.00,0.059
875.50,0.060
875.00,0.060
874.50,0.060
874.00,0.060
873.50,0.061
873.00,0.061
872.50,0.061
872.00,0.061
871.50,0.062
871.00,0.062
870.50,0.062
870.00,0.062
869.50,0.062
869.00,0.063
868.50,0.063
868.00,0.063
867.50,0.063
867.00,0.064
866.50,0.064
866.00,0.064
865.50,0.065
865.00,0.065
864.50,0.065
864.00,0.065
863.50,0.066
863.00,0.066
862.50,0.066
862.00,0.066
861.50,0.067
861.00,0.067
860.50,0.067
860.00,0.068
859.50,0.068
859.00,0.068
858.50,0.068
858.00,0.069
857.50,0.069
857.00,0.069
856.50,0.070
856.00,0.070
855.50,0.070
855.00,0.070
854.50,0.071
854.00,0.071
853.50,0.071
853.00,0.072
852.50,0.072
852.00,0.072
851.50,0.073
851.00,0.073
850.50,0.073
850.00,0.073
849.50,0.074
849.00,0.074
848.50,0.074
848.00,0.075
847.50,0.075
847.00,0.075
846.50,0.076
846.00,0.076
845.50,0.076
845.00,0.077
844.50,0.077
844.00,0.077
843.50,0.078
843.00,0.078
842.50,0.078
842.00,0.079
841.50,0.079
841.00,0.079
840.50,0.080
840.00,0.080
839.50,0.081
839.00,0.081
838.50,0.081
838.00,0.082
837.50,0.082
837.00,0.082
836.50,0.083
836.00,0.083
835.50,0.083
835.00,0.084
834.50,0.084
834.00,0.085
833.50,0.085
833.00,0.085
832.50,0.086
832.00,0.086
831.50,0.086
831.00,0.087
830.50,0.087
830.00,0.088
829.50,0.088
829.00,0.088
828.50,0.089
828.00,0.089
827.50,0.090
827.00,0.090
826.50,0.090
826.00,0.091
825.50,0.091
825.00,0.092
824.50,0.092
824.00,0.092
823.50,0.093
823.00,0.093
822.50,0.094
822.00,0.094
821.50,0.094
821.00,0.095
820.50,0.095
820.00,0.096
819.50,0.096
819.00,0.097
